CM0	CM3	CM7
P62851	P62851	P62851
P18621	P18621	Q9NQX7
Q15365	P17676	P18621
P02462	P02462	Q15365
Q16270	Q16270	P02462
P62857	P62857	Q16270
P02461	P02461	P62857
Q9NPI5	Q15942	P02461
P46783	P46783	P46783
Q9Y3U8	P50395	Q9Y3U8
P23528	Q9Y3U8	P30101
P24311	P30101	P55899
P08574	P27797	P46782
P10321	Q01995	Q8IV08
P08572	Q8IV08	P08574
Q9H4X1	P06703	P10321
P55268	P08574	P08572
O75506	P10321	P35579
P30050	P08572	P51888
Q9UBY9	P35579	P30050
P35609	O75506	P07602
P62917	P30050	P01906
Q9UII2	P62913	P62917
P30042	P11940	Q9UII2
P48735	P10909	P62753
P62750	P62917	P62750
P00746	P09601	P29279
P63316	P62993	P35442
P38117	Q6IS14	P35443
P63313	P62753	P12111
O15273	P14618	Q92743
P02792	P13284	P63316
P18859	P35443	P39060
P62745	P31949	P63313
P00395	P10124	P16035
P63173	P12111	O15273
P23396	P08962	P02792
P19429	P00338	Q01449
P99999	P84077	P16860
Q93062	Q92743	O14558
P12235	P61916	P04080
P40926	P61604	P00395
P30049	P63313	P17275
P43308	P25963	Q9UBR2
P35268	P61586	P23396
P49207	P02792	P19429
P06454	P06748	P17676
P07858	Q15773	P12235
P48201	P10606	P40926
P17540	P08134	P07919
Q00325	P04080	P43308
Q01449	P00395	P35268
O14558	Q9UBR2	P27797
P00403	P23396	P49207
P17813	P10145	P06454
O14604	B1AH88	P07858
Q6UWP2	P22626	P02545
P63244	P40926	Q00325
P62987	P07919	P21673
O75112	Q9BRK5	P62745
P18146	P35268	P00403
Q9Y3D6	P55899	P17813
P08670	P49207	O14604
P20674	P06454	Q30154
P31930	P07858	P63244
Q14393	P02545	P62987
P06307	P84095	Q99538
P03891	Q00325	P18146
O75251	P21673	Q15370
Q14061	P62745	P08670
Q9Y262	P00403	O15143
P03897	P17813	O15144
P05067	O14604	P31930
O00483	Q99538	Q14896
P48047	P62987	P03891
Q15599	Q96KP4	P12109
Q9NYG5	P63244	P03897
P62979	P18146	P05067
P39019	P63000	O00483
P31040	P37837	P68371
O00168	P08670	P48047
P50895	O60234	P06744
Q9Y6M9	O15143	P62979
Q9NPC6	O15144	P39019
P04792	Q99536	P05997
P25705	P03891	P50895
P54296	Q14061	P03905
P03886	P12109	O14543
P62913	P03897	P11279
P00414	Q96B49	P07355
